ERROR - 02/06/2025 09:13:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:39 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:39 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:40 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:40 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:13:57 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:01 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:20 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:20 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:41 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:41 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:41 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:57 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:57 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:14:57 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:15:47 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:18 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:34 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:34 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:35 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:35 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:16:36 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:07 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:07 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:07 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:54 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:54 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:17:56 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:15 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:15 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:16 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:32 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:18:33 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:23:13 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:23:13 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:23:13 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:26:52 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:26:52 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:26:52 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:27:36 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:27:36 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:27:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:27:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:27:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:21 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:28:55 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:29:31 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:29:31 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:29:31 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:29:31 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:29:31 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:00 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:00 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:00 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:00 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:00 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:30:37 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
ERROR - 02/06/2025 09:31:06 : ARANGO ENTITY UPSERT ERROR: [HTTP 400][ERR 1221] illegal document key - entity_manager (/app/orion/api/server/entity_manager/entity_manager.py:262)
