ERROR - 16/09/2025 06:38:02 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 06:42:19 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 16/09/2025 06:59:10 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 16/09/2025 08:54:17 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 08:54:52 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 16/09/2025 09:01:23 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 16/09/2025 11:58:43 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:08:08 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:16:02 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:21:13 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:27:57 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:34:50 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 16/09/2025 12:45:45 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
