ERROR - 15/07/2025 04:50:49 : [5] Something unexpected happened while reading : Connection timed out - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:171)
ERROR - 15/07/2025 11:26:32 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:26:45 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:27:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'unknown field [m_update_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:28:47 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:28:53 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:30:01 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
ERROR - 15/07/2025 11:31:53 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_update_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:129)
