ERROR - 24/09/2025 06:37:49 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 24/09/2025 06:37:58 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 06:40:09 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 06:45:49 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 06:57:39 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 24/09/2025 06:58:08 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 07:09:19 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 07:12:02 : Failed to delete old records: BadRequestError(400, 'parsing_exception', '[range] query does not support [m_leak_date]') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:116)
ERROR - 24/09/2025 07:13:10 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 08:34:17 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
ERROR - 24/09/2025 08:35:40 : ELASTIC : [5] Something unexpected happened while reading : BadRequestError(400, 'search_phase_execution_exception', 'No mapping found for [m_leak_date] in order to sort on') - elastic_controller (/app/orion/services/elastic_manager/elastic_controller.py:150)
